order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,,2023-10-25,457,1,132.14,132.14,Pending,
2,,2025-11-27,355,1,26.93,26.93,Pending,
3,,2023-04-19,284,3,85.76,257.28,Completed,2023-04-30
4,,2025-10-27,188,5,107.18,535.90,Pending,
5,,2025-04-16,252,1,187.07,187.07,Completed,2025-04-29
6,,2025-05-23,332,3,145.16,435.48,Pending,
7,,2024-12-02,470,2,119.55,239.10,Completed,2024-12-05
8,,2025-08-11,282,3,154.77,464.31,Completed,2025-08-19
9,,2023-01-29,134,4,2.18,8.72,Cancelled,
10,,2025-05-03,140,3,157.81,473.43,Completed,2025-05-10
11,,2023-06-26,223,2,169.41,338.82,Cancelled,
12,,2023-11-10,489,5,101.37,506.85,Pending,
13,,2023-10-07,32,5,49.04,245.20,Completed,2023-10-17
14,,2025-02-12,363,3,40.16,120.48,Completed,2025-02-12
15,,2024-02-06,175,4,25.42,101.68,Cancelled,
16,,2024-11-16,18,4,131.35,525.40,Cancelled,
17,,2024-02-17,407,1,132.53,132.53,Completed,2024-02-21
18,,2025-01-23,497,1,48.29,48.29,Completed,2025-02-01
19,,2023-09-10,98,2,87.01,174.02,Pending,
20,,2025-02-03,122,3,28.26,84.78,Completed,2025-02-15
21,,2023-06-25,44,5,183.31,916.55,Cancelled,
22,,2025-12-05,11,4,1.90,7.60,Cancelled,
23,,2025-11-19,1,4,160.21,640.84,Pending,
24,,2025-09-09,21,4,34.90,139.60,Cancelled,
25,,2024-08-07,424,1,94.38,94.38,Pending,
26,,2025-02-02,500,4,196.65,786.60,Completed,2025-02-09
27,,2024-08-24,332,4,28.27,113.08,Cancelled,
28,,2023-05-18,499,1,12.46,12.46,Cancelled,
29,,2025-08-18,27,1,35.77,35.77,Completed,2025-08-26
30,,2023-12-28,15,1,122.97,122.97,Pending,
31,,2024-08-14,341,5,156.17,780.85,Pending,
32,,2023-12-26,361,1,27.83,27.83,Pending,
33,,2025-08-21,318,3,198.60,595.80,Completed,2025-08-25
34,,2024-11-14,346,2,197.32,394.64,Completed,2024-11-19
35,,2025-07-13,444,3,84.36,253.08,Pending,
36,,2024-06-12,197,2,19.40,38.80,Completed,2024-06-13
37,,2023-08-20,146,3,70.20,210.60,Completed,2023-08-24
38,,2025-01-20,482,1,62.49,62.49,Pending,
39,,2025-06-28,445,4,130.58,522.32,Cancelled,
40,,2025-02-15,230,5,38.75,193.75,Cancelled,
41,,2023-01-10,393,5,105.93,529.65,Completed,2023-01-17
42,,2025-07-26,414,3,197.18,591.54,Cancelled,
43,,2024-09-02,267,5,129.11,645.55,Cancelled,
44,,2024-07-12,141,5,12.42,62.10,Cancelled,
45,,2024-11-22,490,5,132.32,661.60,Pending,
46,,2024-12-29,346,4,84.71,338.84,Completed,2025-01-03
47,,2025-06-13,290,2,60.85,121.70,Completed,2025-06-18
48,,2023-10-25,163,4,194.71,778.84,Pending,
49,,2023-04-27,47,5,122.87,614.35,Cancelled,
50,,2025-12-30,493,3,135.46,406.38,Cancelled,
51,,2024-10-20,313,5,73.86,369.30,Pending,
52,,2025-04-23,183,1,164.86,164.86,Cancelled,
53,,2025-07-18,420,2,91.11,182.22,Cancelled,
54,,2023-03-23,5,2,49.43,98.86,Cancelled,
55,,2023-11-14,136,3,163.31,489.93,Cancelled,
56,,2024-11-16,5,3,98.15,294.45,Cancelled,
57,,2025-11-24,422,4,180.58,722.32,Pending,
58,,2023-05-12,73,3,155.16,465.48,Cancelled,
59,,2024-07-27,374,4,100.95,403.80,Completed,2024-07-27
60,,2024-05-22,90,4,34.97,139.88,Completed,2024-06-02
61,,2024-05-31,471,4,60.06,240.24,Pending,
62,,2025-07-27,41,2,164.52,329.04,Completed,2025-08-04
63,,2024-07-09,415,3,48.20,144.60,Cancelled,
64,,2025-07-02,217,4,165.96,663.84,Cancelled,
65,,2025-12-10,302,4,155.21,620.84,Completed,2025-12-14
66,,2025-11-16,169,3,149.08,447.24,Completed,2025-11-17
67,,2023-01-09,143,1,45.62,45.62,Cancelled,
68,,2024-03-12,355,4,2.06,8.24,Cancelled,
69,,2024-01-08,223,4,110.07,440.28,Cancelled,
70,,2024-05-29,107,4,82.65,330.60,Cancelled,
71,,2023-11-10,57,3,174.01,522.03,Completed,2023-11-22
72,,2024-05-11,246,4,115.51,462.04,Completed,2024-05-12
73,,2025-04-18,185,5,132.74,663.70,Pending,
74,,2024-05-06,360,1,153.48,153.48,Pending,
75,,2024-05-31,172,5,10.91,54.55,Completed,2024-06-03
76,,2023-03-13,194,2,43.77,87.54,Completed,2023-03-23
