product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Product 0001,Apparel,420.05,72.97,379,35
2,Product 0002,Electronics,161.49,36.58,377,13
3,Product 0003,Apparel,444.48,357.42,302,54
4,Product 0004,Apparel,21.82,1.23,111,29
5,Product 0005,Sports,332.18,17.40,101,91
6,Product 0006,Home,426.90,357.14,112,57
7,Product 0007,Apparel,387.18,182.32,388,20
8,Product 0008,Grocery,458.53,276.97,142,19
9,Product 0009,Grocery,142.10,125.10,52,11
10,Product 0010,Grocery,249.98,31.70,433,44
11,Product 0011,Apparel,396.65,173.36,373,58
12,Product 0012,Home,352.42,81.81,40,70
13,Product 0013,Sports,193.13,118.51,98,90
14,Product 0014,Electronics,46.58,3.76,395,37
15,Product 0015,Apparel,53.29,19.08,194,35
16,Product 0016,Grocery,298.14,208.31,83,47
17,Product 0017,Grocery,233.83,68.66,359,87
18,Product 0018,Sports,425.69,46.80,325,21
19,Product 0019,Electronics,351.05,160.44,236,48
20,Product 0020,Grocery,177.91,71.97,431,98
21,Product 0021,Apparel,37.65,9.39,412,40
22,Product 0022,Apparel,263.90,87.74,108,72
23,Product 0023,Electronics,471.49,206.23,335,63
24,Product 0024,Home,260.28,210.65,73,33
25,Product 0025,Sports,92.50,40.41,275,33
26,Product 0026,Home,490.56,383.12,459,74
27,Product 0027,Electronics,262.75,118.62,70,65
28,Product 0028,Apparel,324.43,29.79,440,14
29,Product 0029,Home,101.16,26.22,305,8
30,Product 0030,Sports,253.16,125.05,239,67
31,Product 0031,Apparel,165.76,3.77,349,68
32,Product 0032,Grocery,493.09,174.87,57,37
33,Product 0033,Home,285.92,51.83,1,92
34,Product 0034,Sports,472.64,172.62,390,22
35,Product 0035,Grocery,333.71,69.74,430,81
36,Product 0036,Electronics,333.70,130.36,191,97
37,Product 0037,Sports,106.87,88.38,470,0
38,Product 0038,Home,393.52,212.44,9,14
39,Product 0039,Electronics,238.88,100.77,29,30
40,Product 0040,Apparel,372.82,51.62,374,62
41,Product 0041,Electronics,46.35,43.64,65,84
42,Product 0042,Sports,312.48,310.27,84,33
43,Product 0043,Electronics,346.81,277.31,475,69
44,Product 0044,Electronics,495.97,478.37,365,39
45,Product 0045,Grocery,262.48,220.10,224,66
46,Product 0046,Electronics,296.88,39.66,115,8
47,Product 0047,Sports,222.56,6.90,283,29
48,Product 0048,Apparel,386.64,144.33,36,90
49,Product 0049,Electronics,414.59,38.59,34,4
50,Product 0050,Sports,217.54,23.22,121,35
51,Product 0051,Electronics,439.42,318.13,276,16
52,Product 0052,Sports,475.05,374.24,242,31
53,Product 0053,Home,310.96,264.61,97,12
54,Product 0054,Home,64.52,53.99,181,54
55,Product 0055,Apparel,270.41,153.04,344,83
56,Product 0056,Apparel,424.48,64.50,206,93
57,Product 0057,Electronics,223.36,35.81,98,24
58,Product 0058,Electronics,352.46,294.01,216,23
